afid,afname,afcity,afcountry
60030162,Columbia University,New York,United States
60005455,Yale University,New Haven,United States
60033340,Congressional Budget Office,"Washington, D.C.",United States
60029241,"University of California, Santa Barbara",Santa Barbara,United States
60020337,National Bureau of Economic Research,Cambridge,United States
115293737,VATT Institute for Economic Research,Bonn,Finland
100328176,Labour Institute for Economic Research,Uusimaa,Finland
60016247,Brandeis University,Waltham,United States
60026479,University of Exeter,Exeter,United Kingdom
60021784,New York University,New York,United States
60006297,University of Pennsylvania,Philadelphia,United States
60008724,Duke University,Durham,United States
60000928,Emory University,Atlanta,United States
60026532,Microsoft Corporation,Redmond,United States
60022452,Wharton School of the University of Pennsylvania,Philadelphia,United States
60003269,Princeton University,Princeton,United States
125333109,HomeAway,,United States
60013830,Federal Reserve Bank of Chicago,Chicago,United States
60022522,Montana State University,Bozeman,United States
60010307,University of Colorado Denver,Denver,United States
60027550,"University of California, Los Angeles",Los Angeles,United States
119279267,Centre for Economic Policy Research,Cambridge,United States
60059147,Banco de Portugal,Lisbon,Portugal
60017317,University of Sussex,Brighton,United Kingdom
60025709,The University of Sydney,Sydney,Australia
60025278,Tsinghua University,Beijing,China
60105232,ShanghaiTech University,Shanghai,China
60032179,University of Wisconsin-Madison,Madison,United States
60029278,The University of Chicago,Chicago,United States
112397371,National Bank of,,Slovakia
60009982,Harvard University,Cambridge,United States
60013372,The University of Texas at Austin,Austin,United States
60002214,University of San Diego,San Diego,United States
60020928,Stanford Graduate School of Business,Stanford,United States
60108865,"The Chinese University of Hong Kong, Shenzhen",Shenzhen,China
60018540,Southwestern University of Finance and Economics,Chengdu,China
60017161,National University of Singapore,Singapore City,Singapore
60002798,Chinese University of Hong Kong,Hong Kong,Hong Kong
60023143,Tufts University,Medford,United States
60112315,Federal Reserve Bank of Kansas City,Kansas City,United States
60091322,Federal Reserve Bank of Minneapolis,Minneapolis,United States
122983472,EPGE Brazilian School of Economics and Finance,,Brazil
60023612,Federal Reserve System,"Washington, D.C.",United States
60186190,International Growth Centre,London,United Kingdom
60105207,Barcelona School of Economics,Barcelona,Spain
60015150,Imperial College London,London,United Kingdom
60112612,Institutet för Internationell Ekonomi,Stockholm,Sweden
60007493,Universität Bonn,Bonn,Germany
60028378,Stockholms universitet,Stockholm,Sweden
60003858,Uppsala Universitet,Uppsala,Sweden
60019674,Boston University,Boston,United States
60010261,Washington University in St. Louis,St. Louis,United States
60010057,London Business School,London,United Kingdom
60008592,Hong Kong University of Science and Technology,Hong Kong,Hong Kong
60025778,"University of Michigan, Ann Arbor",Ann Arbor,United States
60032942,Universitat Pompeu Fabra Barcelona,Barcelona,Spain
60030612,"University of California, San Diego",La Jolla,United States
124194323,University of Arkansas,Carbondale,United States
101735329,US General Services Administration,New York,United States
60042311,Lahore University of Management Sciences,Lahore,Pakistan
60022195,Massachusetts Institute of Technology,Cambridge,United States
60006332,John F. Kennedy School of Government,Cambridge,United States
115476075,Harris School of Public Policy,,United States
60016849,University of Toronto,Toronto,Canada
60001439,Pennsylvania State University,University Park,United States
60010884,Western University,London,Canada
60104179,Federal Reserve Bank of St. Louis,St. Louis,United States
60007363,Northwestern University,Evanston,United States
123291170,Rutgers University,Chicago,United States
60029311,University of Southern California,Los Angeles,United States
60025233,NHH Norwegian School of Economics,Bergen,Norway
60008950,The Australian National University,Canberra,Australia
60027165,University of Rochester,Rochester,United States
60012708,Stanford University,Stanford,United States
60003059,London School of Economics and Political Science,London,United Kingdom
60010348,Universitetet i Oslo,Oslo,Norway
60005286,Rice University,Houston,United States
60016114,William  Mary,Williamsburg,United States
60020304,"University of Maryland, College Park",College Park,United States
60009254,Purdue University,West Lafayette,United States
60026610,Clemson University,Clemson,United States
60103892,Frankfurt School of Finance and Management,Frankfurt am Main,Germany
60078288,CESifo GmbH,Munich,Germany
60006341,Universität Mannheim,Mannheim,Germany
60029616,Aarhus Universitet,Aarhus,Denmark
60002494,Université McGill,Montreal,Canada
60005141,University College Dublin,Dublin,Ireland
119723923,The Vanguard Group,Adelaide,United States
60031581,California Institute of Technology,Pasadena,United States
60111239,Toulouse School of Economics - Recherche - (TSE-R),Toulouse,France
124168048,Università Bocconi and Innocenzo Gasparini Institute for Economic Research,,United States
60022020,University of Warwick,Coventry,United Kingdom
60021562,Handelshögskolan i Stockholm,Stockholm,Sweden
60029788,Wesleyan University Middletown,Middletown,United States
60000221,University of Colorado Boulder,Boulder,United States
60011460,Brown University,Providence,United States
60026851,University of Oxford,Oxford,United Kingdom
60016437,Göteborgs Universitet,Gothenburg,Sweden
122730169,Institute for Labor Economics,,Germany
60116484,Imperial College Business School,London,United Kingdom
60023004,University of Delaware,Newark,United States
60004923,NC State University,Raleigh,United States
60029622,Universitetet i Bergen,Bergen,Norway
60005094,Statistisk sentralbyrå,Oslo,Norway
60025038,"University of California, Berkeley",Berkeley,United States
60027272,The University of Edinburgh,Edinburgh,United Kingdom
60019909,University of Wisconsin-Milwaukee,Milwaukee,United States
60005248,Johns Hopkins University,Baltimore,United States
118482724,Institute of Labor Economics,Bonn,Germany
60138278,Kelley School of Business,Bloomington,United States
60027950,Carnegie Mellon University,Pittsburgh,United States
60015543,University of Pittsburgh,Pittsburgh,United States
60015481,University of Washington,Seattle,United States
60032619,Université Laval,Quebec,Canada
60025063,KU Leuven,Leuven,Belgium
60007776,Cornell University,Ithaca,United States
60028717,Ludwig-Maximilians-Universität München,Munich,Germany
60025310,Heinrich-Heine-Universität Düsseldorf,Dusseldorf,Germany
60024025,Universität zu Köln,Koln,Germany
60112745,Bureau for Research and Economic Analysis of Development,Cambridge,United States
60082875,Canadian Institute for Advanced Research,Toronto,Canada
60029445,University of Minnesota Twin Cities,Minneapolis,United States
60074077,Institut für Weltwirtschaft an der Universität Kiel,Kiel,Germany
60011263,Hitotsubashi University,Kunitachi,Japan
60010756,Dartmouth College,Hanover,United States
123854639,Institute for Political Economy and Governance and Centre for Economic Policy Research,,United States
123757374,Bates White,,United States
60001965,Suomen Pankki,Helsinki,Finland
60028218,Alma Mater Studiorum Università di Bologna,Bologna,Italy
60024316,"European University Institute, San Domenico di Fiesole",San Domenico di Fiesole,Italy
60009512,The University of Adelaide,Adelaide,Australia
100717546,Institute for International Economic Studies,,Sweden
60010365,The University of British Columbia,Vancouver,Canada
124185099,University of Arkansas,Stuttgart,United States
60004888,"INSEAD, Europe",Fontainebleau,France
60019666,Harvard Business School,Boston,United States
60010806,University of Rhode Island,Kingston,United States
60024063,University of Massachusetts Boston,Boston,United States
60002526,"California State University, Fresno",Fresno,United States
60112541,Rotman School of Management,Toronto,Canada
60116562,"University of Bath, School of Management",Bath,United Kingdom
60005429,National Taiwan University,Taipei,Taiwan
60023813,Shanghai University,Shanghai,China
60023932,University of Technology Sydney,Sydney,Australia
60014347,Hong Kong Baptist University,Hong Kong,Hong Kong
60027017,Stephen M. Ross School of Business,Ann Arbor,United States
60015138,University of Nottingham,Nottingham,United Kingdom
60115484,Warwick Business School,Coventry,United Kingdom
60176142,University of Edinburgh Business School,Edinburgh,United Kingdom
120984357,HEC Liège,Liege,Belgium
60012614,Universität Zürich,Zurich,Switzerland
60108316,Leonard N. Stern School of Business,New York,United States
60021918,University of Virginia,Charlottesville,United States
60116456,Haslam College of Business,Knoxville,United States
60116247,Penn State Smeal College of Business,University Park,United States
60116364,Foster School of Business,Seattle,United States
60031117,Boston College,Chestnut Hill,United States
60072522,Haas School of Business,Berkeley,United States
60116868,Desautels Faculty of Management,Montreal,Canada
60112746,"University of Oxford, Saïd Business School",Oxford,United Kingdom
60138820,Kellogg School of Management Northwestern University,Evanston,United States
60122501,UNC Kenan-Flagler Business School,Chapel Hill,United States
60122532,Muma College of Business,Tampa,United States
60030835,University of Alberta,Edmonton,Canada
60002092,Florida State University,Tallahassee,United States
60106384,DeGroote School of Business,Hamilton,Canada
60068566,École des hautes études commerciales de Paris,Jouy-en-Josas,France
60022148,University College London,London,United Kingdom
60026391,Bank of England,London,United Kingdom
60019578,Monash University,Melbourne,Australia
60029170,Lunds Universitet,Lund,Sweden
60016621,"Centre for Economic Policy Research, London",London,United Kingdom
110005183,IZA,Frankfurt am Main,Germany
60027552,Columbia Business School,New York,United States
60189736,Lazaridis School of Business and Economics,Waterloo,Canada
60361484,Fogelman College of Business and Economics,Memphis,United States
60116494,UCI Paul Merage School of Business,Irvine,United States
60029747,University of Georgia,Athens,United States
60112497,Federal Reserve Bank of Boston,Boston,United States
60020188,Copenhagen Business School,Frederiksberg,Denmark
60159893,Swiss Finance Institute,Zurich,Switzerland
113913510,Capital Fund Management,Paris,France
60019743,Federal Reserve Bank of New York,New York,United States
60001308,Yale School of Management,New Haven,United States
60019161,Social Security Administration,Baltimore,United States
124465096,Harvard Kennedy School and NBER,,United States
60025988,Universität Wien,Vienna,Austria
60006824,Università della Svizzera italiana,Lugano,Switzerland
124252063,University of Washington,Sammamish,United States
60006951,The University of North Carolina at Charlotte,Charlotte,United States
60028089,Darla Moore School of Business,Columbia,United States
60116256,Rady School of Management,La Jolla,United States
60116471,McCombs School of Business,Austin,United States
60116516,Fisher College of Business,Columbus,United States
60030840,Københavns Universitet,Copenhagen,Denmark
60030473,Instituto Tecnológico Autónomo de México,Mexico City,Mexico
60030528,Baruch College,New York,United States
60116316,Jones Graduate School of Business,Houston,United States
60014228,MIT Sloan School of Management,Cambridge,United States
60112748,The University of Chicago Booth School of Business,Chicago,United States
60000239,Université de Lausanne (UNIL),Lausanne,Switzerland
123939030,University of California,Big Sur,United States
60027561,University of Illinois at Chicago,Chicago,United States
60256697,CUHK Business School,Hong Kong,Hong Kong
60138810,Carroll School of Management,Chestnut Hill,United States
60122753,Simon Business School,Rochester,United States
60018208,Washington State University Pullman,Pullman,United States
60025111,The University of North Carolina at Chapel Hill,Chapel Hill,United States
60116134,Olin Business School,St. Louis,United States
60026051,Alliance Manchester Business School,Manchester,United Kingdom
60116635,Cornell SC Johnson College of Business,Ithaca,United States
60127974,Shanghai Institute of International Finance and Economics,Shanghai,China
114753708,SummerHaven Investment Management,New Haven,United States
60032903,United States Securities and Exchange Commission,"Washington, D.C.",United States
60002483,Universiteit van Amsterdam,Amsterdam,Netherlands
123757345,Kennesaw State University,,Netherlands
60109559,UCLA Anderson School of Management,Los Angeles,United States
60093261,Leeds School of Business,Boulder,United States
112905035,AQR Capital Management,Greenwich,United States
60097292,Robert H. Smith School of Business,College Park,United States
60099658,USC Marshall School of Business,Los Angeles,United States
60122769,Warrington College of Business,Gainesville,United States
60012259,Università degli Studi di Torino,Turin,Italy
60001359,University of Essex,Colchester,United Kingdom
60116608,Fuqua School of Business,Durham,United States
125774250,Centre for Economic Performance (CEP,Berlin,
60014402,Renmin University of China,Beijing,China
60004718,Université de Genève,Geneva,Switzerland
125774234,Graduate Institute of International and Development Studies,,
60112672,Federal Reserve Bank of Philadelphia,Philadelphia,United States
60109909,Research Institute of Industrial Economics,Stockholm,Sweden
60104714,Institutet för social forskning,Stockholm,Sweden
60023927,Georgetown University,"Washington, D.C.",United States
125774086,NYU,,
60023588,Universität Basel,Basel,Switzerland
60007903,Hebrew University of Jerusalem,Jerusalem,Israel
60028333,UNSW Sydney,Sydney,Australia
60008991,Sabancı Üniversitesi,Tuzla,Turkey
60003892,Arizona State University,Tempe,United States
60083841,Institut National de l'Audiovisuel,Bry-sur-Marne,France
60083821,SciencesPo Paris,Paris,France
60102538,Karlsruher Institut für Technologie,Karlsruhe,Germany
125429279,Briq - Institute on Behavior and Inequality,,
60021796,Università Bocconi,Milan,Italy
60029504,CERGE-EI Center for Economic Research and Graduate Education - Economics Institute,Prague,Czech Republic
60029681,Pontificia Universidad Católica de Chile,Santiago,Chile
60010447,Centre de Recherche en Économie et Statistique,Palaiseau,France
60009507,University of Montreal,Montreal,Canada
60052106,"Universidad de Los Andes, Colombia",Bogota,Colombia
60116392,Darden School of Business,Charlottesville,United States
60109587,Banco de España,Madrid,Spain
60014966,Peking University,Beijing,China
60016418,University of York,York,United Kingdom
60033114,Wake Forest University,Winston Salem,United States
60032211,University of Texas System,Austin,United States
60010065,The University of Arizona,Tucson,United States
60007278,"University of California, Irvine",Irvine,United States
60003970,Zhejiang University,Hangzhou,China
60033125,University of Leicester,Leicester,United Kingdom
101622743,Indian Administrative Service (IAS),Srinagar,India
60000942,Office of Tax Analysis,"Washington, D.C.",United States
60014439,"University of California, Davis",Davis,United States
60002306,University of Calgary,Calgary,Canada
60108957,Ecole d’Économie de Paris,Paris,France
60025070,École des Hautes Études en Sciences Sociales,Paris,France
60021406,International Monetary Fund,"Washington, D.C.",United States
125791554,IIES and CEPR,,United States
101454543,CEPR and NBER,,United States
60032442,Universidad Nacional Autónoma de México,Mexico,Mexico
