eid,author_names,author_ids,author_afids
2-s2.0-85094597546,"Halac, Marina",55255319400,60005455
2-s2.0-85094597546,"Yared, Pierre",14071002400,60030162
2-s2.0-85094587909,"Benzarti, Youssef",57206720405,60029241
2-s2.0-85094587909,"Benzarti, Youssef",57206720405,60020337
2-s2.0-85094587909,"Carloni, Dorian",57206720570,60033340
2-s2.0-85094587909,"Harju, Jarkko",55616889100,115293737
2-s2.0-85094587909,"Kosonen, Tuomas",56369617800,100328176
2-s2.0-85093858281,"Eden, Maya",57190220253,60016247
2-s2.0-85093854163,"Chiappori, Pierre André",6603536540,60030162
2-s2.0-85093854163,"Oreffice, Sonia",16316718900,60026479
2-s2.0-85093854163,"Quintana-Domeque, Climent",16043494300,60026479
2-s2.0-85092758887,"Martellini, Paolo",57219451466,60006297
2-s2.0-85092758887,"Menzio, Guido",23489628200,60021784
2-s2.0-85091259498,"Arcidiacono, Peter",6701391248,60008724
2-s2.0-85091259498,"Joseph Hotz, V.",57220207824,60008724
2-s2.0-85091259498,"Maurel, Arnaud",35190798800,60008724
2-s2.0-85091259498,"Romano, Teresa",58429288800,60000928
2-s2.0-85091231941,"Azevedo, Eduardo M.",41660966300,60022452
2-s2.0-85091231941,"Deng, Alex",55354632100,60026532
2-s2.0-85091231941,"Olea, Jose Luis Montiel",57211425435,60030162
2-s2.0-85091231941,"Rao, Justin",56226676200,125333109
2-s2.0-85091231941,"Glen Weyl, E.",26421550200,60003269
2-s2.0-85094573491,"Alexander, Diane",57192875932,60013830
2-s2.0-85093521895,"Anderson, D. Mark",55483351900,60022522
2-s2.0-85093521895,"Brown, Ryan",57193488392,60010307
2-s2.0-85093521895,"Charles, Kerwin Kofi",7004061909,60020337
2-s2.0-85093521895,"Rees, Daniel I.",7402667620,60010307
2-s2.0-85092763012,"Giorcelli, Michela",57203606990,60027550
2-s2.0-85092763012,"Giorcelli, Michela",57203606990,60020337
2-s2.0-85092763012,"Moser, Petra",36948375900,60021784
