eid,doi,coverDate,coverDisplayDate,publicationName,issn,eIssn,title,citedby_count,description,authkeywords,source_id,creator,author_count,aggregationType,volume,issueIdentifier,pageRange,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85094597546,10.1086/710560,2020-12-01,December 2020,Journal of Political Economy,223808,1537534X,Commitment versus flexibility with costly verification,12,"A principal faces an agent who is better informed but biased toward higher actions. She can verify the agent’s information and specify his permissible actions.We show that if the verification cost is small enough, a threshold with an escape clause (TEC) is optimal: The agent either chooses an action below a threshold or requests verification and the efficient action above the threshold. For higher costs, however, the principal may require verification only for intermediate actions, dividing the delegation set. TEC is always optimal if the principal cannot commit to inefficient allocations following the verification decision and result.",,24404,Halac M.,2.0,Journal,128.0,12,4523-4573,0,,,,undefined,
2-s2.0-85094587909,10.1086/710558,2020-12-01,December 2020,Journal of Political Economy,223808,1537534X,What goes up may not come down: Asymmetric incidence of value-added taxes,53,"Previously circulated as “Do Prices Respond Differently to Increases and Decreases in Consumption Taxes?” The views expressed in this paper are the authors’ and should not be interpreted as those of the Congressional Budget Office, Labour Institute for Economic Research, or VATT. We thank the editor (Magne Mogstad), six anonymous referees, Alan Auerbach, Raj Chetty, Stefano DellaVigna, Ignacio Esponda, Itzik Fadlon, Naomi Feldman, Amy Finkelstein, Xavier Gabaix, Al Harberger, Jim Hines, Hilary Hoynes, Henrik Kleven, Wojciech Kopczuk, Peter Kuhn, Camille Landais, Maurizio Mazzocco, Pascal Michaillat, Ryan Oprea, Heather Royer, Emmanuel Saez, Joel Slemrod, Alisa Tazhitdinova, Gonzalo Vazquez-Bare, and numerous seminar participants for their helpful suggestions and comments. Tero Hokkanen, Jen Kades, and Carolina Kansikas provided outstanding research assistance. Harju gratefully acknowledges financial support from the Foundation for Economic Education. Data are provided as supplementary material online.",,24404,Benzarti Y.,4.0,Journal,128.0,12,4438-4474,0,repositoryam,Green,FEE,undefined,Foundation for Economic Education
2-s2.0-85093858281,10.1086/710561,2020-12-01,December 2020,Journal of Political Economy,223808,1537534X,Welfare analysis with heterogeneous risk preferences,2,"How much should society be willing to pay for reducing inequality? The standard approach to this normative question relates inequality aversion to risk aversion by treating inequality as an outcome of a lottery. However, in the presence of heterogeneous risk preferences, it is unclear whose preferences should be used for evaluating this lottery. This paper derives a social welfare function as a limit of an iterative procedure, in which each iteration constructs a lottery based on the certainty equivalents from the previous iteration. The limit of this procedure can be interpreted as the equally distributed equivalent of the initial allocation.",,24404,Eden M.,1.0,Journal,128.0,12,4574-4613,0,,,,undefined,
2-s2.0-85093854163,10.1086/710838,2020-12-01,December 2020,Journal of Political Economy,223808,1537534X,Erratum: Fatter attraction: Anthropometric and socioeconomic matching on the marriage market,0,"Alfred Galichon pointed out to us an error in our paper “Fatter Attraction: Anthropometric and Socioeconomic Matching on the Marriage Market” (Chiappori, Oreffice, and Quintana-Domeque 2012). The properties derived in the theory section (sec. III) are not sufficient to validate the empirical strategy developed in the following section; the latter requires more specific assumptions. The issue can easily be described in the TU (transferable-utility) case (sec. III.B).We use the same notation as in the initial paper. In particular, women (men) are characterized by a vector ðX, εÞ RL RK (ðY , hÞ RK RL), where X (Y) is a vector of observable female (male) characteristics and ε (h) is a random vector reflecting female (male) unobservable attributes. Proposition 2 actually implies that, for any stable matching, the conditional distribution of the female index I(X), given the male characteristics Y, depends only on the male index J(Y ), and conversely. This property can be used to empirically estimate these indexes even in the most general framework, a possibility explored in forthcoming work.",,24404,Chiappori P.A.,3.0,Journal,128.0,12,4673-4675,0,,,,undefined,
2-s2.0-85092758887,10.1086/710975,2020-12-01,December 2020,Journal of Political Economy,223808,1537534X,"Declining search frictions, unemployment, and growth",14,"For a search-theoretic model of the labor market, we seek conditions for the existence of a balanced growth path (BGP), where unemployment, vacancy, and worker’s transitions rates remain constant in the face of improvements in the production and search technologies. A BGP exists iff firm-worker matches are inspection goods and the quality of a match is drawn from a Pareto distribution. Declining search frictions contribute to growth with an intensity determined by the tail coefficient of the Pareto distribution. We develop a strategy to measure the rate of decline of search frictions and their contribution to growth.",,24404,Martellini P.,2.0,Journal,128.0,12,4387-4437,0,repositoryam,Green,,undefined,
2-s2.0-85091259498,10.1086/710559,2020-12-01,December 2020,Journal of Political Economy,223808,1537534X,Ex ante returns and occupational choice,39,"Using data from Duke University undergraduates, we make three main contributions to the literature. First, we show that data on earnings beliefs and probabilities of choosing particular occupations are highly informative of future earnings and occupations. Second, we show how beliefs data can be used to recover ex ante treatment effects and their relationship with individual choices. We find large differences in expected earnings across occupations and provide evidence of sorting on expected gains. Finally, nonpecuniary factors play an important role, with a sizable share of individuals willing to give up substantial amounts of earnings by not choosing their highest-paying occupation.",,24404,Arcidiacono P.,4.0,Journal,128.0,12,4475-4522,0,,,,undefined,
2-s2.0-85091231941,10.1086/710607,2020-12-01,December 2020,Journal of Political Economy,223808,1537534X,A/b testing with fat tails,28,"We propose a new framework for optimal experimentation, which we term the “A/B testing problem.” Our model departs from the existing literature by allowing for fat tails. Our key insight is that the optimal strategy depends on whethermost gains accrue fromtypical innovations or from rare, unpredictable large successes. If the tails of the unobserved distribution of innovation quality are not too fat, the standard approach of using a few high-powered “big” experiments is optimal. However, if the distribution is very fat tailed, a “lean” strategy of trying more ideas, each with possibly smaller sample sizes, is preferred. Our theoretical results, along with an empirical analysis of Microsoft Bing’s EXPplatform, suggest that simple changes to business practices could increase innovation productivity.",,24404,Azevedo E.M.,5.0,Journal,128.0,12,4614-4672,0,,,,undefined,
2-s2.0-85094573491,10.1086/710334,2020-11-01,1 November 2020,Journal of Political Economy,223808,1537534X,How do doctors respond to incentives? Unintended consequences of paying doctors to reduce costs,16,"Billions of dollars have been spent on pilot programs searching for ways to reduce health care costs. I study one such program, in which hospitals pay doctors bonuses for reducing the total hospital costs of admitted Medicare patients. Doctors respond to the bonuses by becoming more likely to admit patients whose treatment can generate high bonuses and sorting healthier patients into participating hospitals. Conditional on patient health, however, doctors do not reduce costs or change procedure use. These results highlight the ability of doctors to game incentive schemes and the risks of basing nationwide health care reforms on pilot programs.",,24404,Alexander D.,1.0,Journal,128.0,11,4046-4096,0,repositoryam,Green,ND,undefined,Princeton University
2-s2.0-85093521895,10.1086/710555,2020-11-01,1 November 2020,Journal of Political Economy,223808,1537534X,Occupational licensing and maternal health: Evidence from early midwifery laws,31,"Exploiting variation across states and municipalities in the timing and details of midwifery laws introduced during the period 1900–1940 and using data assembled from various primary sources, we find that requiring midwives to be licensed reduced maternal mortality by 7%– 8% and may have led to modest reductions in infant mortality. These estimates represent the strongest evidence to date that licensing restrictions can improve the health of consumers and are directly relevant to ongoing policy debates on the merits of licensing midwives.",,24404,Anderson D.M.,4.0,Journal,128.0,11,4337-4383,0,repositoryvor,Green,TTU,R24 HD042828,Texas Tech University
2-s2.0-85092763012,10.1086/710534,2020-11-01,1 November 2020,Journal of Political Economy,223808,1537534X,Copyrights and creativity: Evidence from italian opera in the napoleonic age,31,"This paper exploits variation in the adoption of copyrights within It-aly—due to the timing of Napoléon’s military victories—to investigate the causal effects of copyrights on creativity. Baseline regressions compare changes in opera production across Italian states with and without copyrights. This analysis yields three main results. First, the adoption of copyrights led to a significant increase in the number of newly created operas. Second, copyrights raised the quality of new operas, measured both by their immediate success and by their longevity. Third, there were no benefits from copyright extensions beyond the life of the original creator.",,24404,Giorcelli M.,2.0,Journal,128.0,11,4163-4210,0,,,NSF,1151180,National Science Foundation
2-s2.0-85092592993,10.1086/710533,2020-11-01,1 November 2020,Journal of Political Economy,223808,1537534X,Productivity and organization in portuguese firms,21,"Using employer-employee matched and firm production quantity and input data for Portuguese firms, we study the endogenous response of productivity to firm reorganizations as measured by changes in the number of management layers. We show that, as a result of an exogenous demand or productivity shock that makes the firm reorganize and add a management layer, quantity-based productivity increases by about 6%, while revenue-based productivity drops by around 3%. Such.",,24404,Caliendo L.,4.0,Journal,128.0,11,4211-4257,0,repositoryam,Green,FCT,UID/ECO/00436/2013,Fundação para a Ciência e a Tecnologia
2-s2.0-85092411411,10.1086/710554,2020-11-01,1 November 2020,Journal of Political Economy,223808,1537534X,Erratum to: Chinese College Admissions and School Choice Reforms: A Theoretical Analysis (Journal of Political Economy),0,"By definition, if mechanism Je is more manipulable than mechanism J,e0 then any truth-telling Nash equilibrium (where all students report their true preferences) of Je is also a Nash equilibrium of J . Therefore, corollary 2 (which is implied by theorem 1) in the paper “Chinese College Ad-e0 missions and School Choice Reforms: A Theoretical Analysis,” published in the February 2017 issue of the Journal of Political Economy (vol. 125 (1)), is incorrect. Equilibrium comparisons in corollary 2 hold under truth telling. The corrected statement of corollary 2 is as follows. Corollary 2. Any truth-telling Nash equilibrium of the preference revelation game associated with Je is also a Nash equilibrium of that of Je0 where e0 > e. Similarly, equilibrium comparisons in theorem 2 and its extension theorem 5, which invoke corollary 2, hold under truth telling. The corrected statement of theorem 2 is as follows. Theorem 2. Let e0 = ke for some k ∈ N ⋃f∞g. Any truth-telling equilibrium of Je that leads to a stable matching is also an equilibrium of J ande0 leads to the same stable matching. However, the converse is not true; that is, there are stable truth-telling equilibria of J that neither may be equilibriae0 nor may be stable under Je. With this modification, the converse statement in theorem 2 (and in its extension theorem 5) still holds and can easily be shown by adding an extra student (who prefers school se 0 most but has the lowest priority at all schools) and an extra school (which is the least preferred by all stu-dents) to the example in the original proof. We regret the error. We thank Kentaro Tomoeda for pointing out the error in corollary 2.",,24404,Chen Y.,2.0,Journal,128.0,11,4384,0,,,,undefined,
2-s2.0-85092387335,10.1086/710535,2020-11-01,1 November 2020,Journal of Political Economy,223808,1537534X,Equilibrium labor market search and health insurance reform,12,"We present and empirically implement an equilibrium labor market search model where risk-averse workers facing medical expenditure shocks are matched with firms making health insurance coverage decisions. We use our estimated model to evaluate the equilibrium impact of many health care reform proposals, including the 2010 Affordable Care Act (ACA). We use the estimates of the early impact of the ACA as a model validation. We find that income-based subsidies for health insurance premiums are crucial for the sustainability of the ACA, while the ACA can still substantially reduce the uninsured rate without the individual or the employer mandate.",,24404,Aizawa N.,2.0,Journal,128.0,11,4258-4336,0,repositoryam,Green,NSF,SES-0844845,National Science Foundation
